,FullAddress,long,lat
314,Kameruner Str. 055 13351 Berlin,13.3489389,52.55187369999999
315,Dubliner Str. 008 13349 Berlin,13.3423581,52.5574609
316,Transvaalstr. 046 13351 Berlin,13.344709,52.5540295
317,Prinz-Eugen-Str. 016 13347 Berlin,13.363622,52.5484527
318,Antwerpener Str. 040 13353 Berlin,13.3515052,52.5468007
319,Osloer Str. 124 13359 Berlin,13.3897832,52.5551207
320,Müllerstr. 061 13349 Berlin,13.3434157,52.555375
321,Badstr. 057/58 13357 Berlin,13.382604,52.5517237
322,Lichtburgring 011 13355 Berlin,13.3988215,52.5473136
323,Burgsdorfstr. 013 13353 Berlin,13.3622594,52.5425563
324,Genter Str. 074 13353 Berlin,13.3509019,52.5496536
325,Barfusstr. 014 13349 Berlin,13.3474177,52.5555432
326,Müllerstr. 064 13349 Berlin,13.3425078,52.55588940000001
327,Transvaalstr. 043 13351 Berlin,13.3440711,52.553607
328,Badstr. 010 13357 Berlin,13.3855851,52.55013779999999
329,Iranische Str. 006 13347 Berlin,13.3664137,52.5549711
330,Müllerstr. 077-78 13349 Berlin,13.336915,52.5590594
331,Triftstr. 067 13353 Berlin,13.3588653,52.5438894
332,Lynarstr. 039 13353 Berlin,13.3621532,52.5411177
333,Soldiner Str. 031 13359 Berlin,13.3846176,52.5591531
334,Tegeler Str. 018-19 13353 Berlin,13.3578141,52.5414735
335,Ravenéstr. 010 13347 Berlin,13.3727575,52.5430346
336,Putbusser Str. 030/31 13355 Berlin,13.3918641,52.5468075
337,Prinzenallee 058 13359 Berlin,13.385669,52.5579625
338,Brüsseler Str. 045 13353 Berlin,13.3513392,52.5476857
339,Dohnagestell 008 13351 Berlin,13.3330966,52.5451503
340,Reinickendorfer Str. 004 13347 Berlin,13.370171,52.54081009999999
341,Zechliner Str. 001 13359 Berlin,13.3817916,52.5615678
342,Lütticher Str. 039 13353 Berlin,13.3501153,52.5450376
343,Prinzenallee 008 13357 Berlin,13.3825257,52.55334389999999
344,Ellerbeker Str. 007-8 13357 Berlin,13.395507,52.5515744
345,Eulerstr. 021 13357 Berlin,13.3896463,52.5527798
346,Afrikanische Str. 043 13351 Berlin,13.3390031,52.5504143
347,Hussitenstr. 004-5 13355 Berlin,13.3902414,52.5366839
348,Brüsseler Str. 037 13353 Berlin,13.3487117,52.5462588
349,Wollankstr. 039 13359 Berlin,13.3899243,52.5629764
350,Soldiner Str. 044 13359 Berlin,13.3807299,52.56022429999999
351,Cornelius-Fredericks-Str. 005 13351 Berlin,13.3497545,52.5495027
352,Antonstr. 010 13347 Berlin,13.3638795,52.5468148
353,Reinickendorfer Str. 081 13347 Berlin,13.3680981,52.5501348
354,Genter Str. 063 13353 Berlin,13.3513079,52.548491
355,Badstr. 033 13357 Berlin,13.3799745,52.5528805
356,Martin-Opitz-Str. 023 13357 Berlin,13.3727746,52.55099260000001
357,Prinzenallee 058 13359 Berlin,13.385669,52.5579625
358,Andreasstr. 037 10243 Berlin,13.4340088,52.5166724
359,Auerstr. 013-17 10249 Berlin,13.4439107,52.51925970000001
360,Bänschstr. 078 10247 Berlin,13.4697694,52.5171432
361,Landsberger Allee 050-52 10249 Berlin,13.4420835,52.5243139
362,Colbestr. 009 10247 Berlin,13.4644275,52.5135825
363,Fürstenwalder Str. 030 10243 Berlin,13.4313804,52.5188177
364,Gryphiusstr. 034 - 35 10245 Berlin,13.4622099,52.5071394
365,Dirschauer Str. 013 10245 Berlin,13.4568476,52.5082276
366,Hildegard-Jadamowitz-Str. 001 10243 Berlin,13.4418037,52.5154667
367,Ebertystr. 043 10249 Berlin,13.4526091,52.5245772
368,Kinzigstr. 032 10247 Berlin,13.4648531,52.51230229999999
369,Straßmannstr. 028 10249 Berlin,13.4517241,52.5223646
370,Schreinerstr. 019 10247 Berlin,13.4674319,52.5169653
371,Simon-Dach-Str. 024 10245 Berlin,13.455112,52.5081006
372,Travestr. 003 10247 Berlin,13.4698373,52.5113795
373,Liebigstr. 030 10247 Berlin,13.4572992,52.5186296
374,Eldenaer Str. 028A 10247 Berlin,13.4690888,52.5201916
